trade_date,cusip,ytm
3/8/23,912920AK1,8.7776
3/9/23,912920AK1,9.194
3/10/23,912920AK1,9.5441
3/13/23,912920AK1,9.0393
3/14/23,912920AK1,8.8407
3/15/23,912920AK1,8.5125
3/16/23,912920AK1,9.8378
3/17/23,912920AK1,9.5372
3/20/23,912920AK1,9.7451
3/21/23,912920AK1,9.8022
3/22/23,912920AK1,9.4029
3/23/23,912920AK1,9.8185
3/24/23,912920AK1,9.8144
3/27/23,912920AK1,10.3042
3/28/23,912920AK1,10.4301
3/29/23,912920AK1,10.4202
3/30/23,912920AK1,10.4395
3/31/23,912920AK1,10.8156
4/3/23,912920AK1,10.5077
4/4/23,912920AK1,10.6976
4/5/23,912920AK1,10.9628
4/6/23,912920AK1,10.9665
4/7/23,912920AK1,10.9665
4/10/23,912920AK1,10.9703
4/11/23,912920AK1,10.974
4/12/23,912920AK1,10.9778
4/13/23,912920AK1,10.9891
4/14/23,912920AK1,10.7393
4/17/23,912920AK1,10.7429
4/18/23,912920AK1,10.7464
4/19/23,912920AK1,10.877
4/20/23,912920AK1,11.6617
4/21/23,912920AK1,11.6663
4/24/23,912920AK1,11.1523
4/25/23,912920AK1,11.1563
4/26/23,912920AK1,12.4732
4/27/23,912920AK1,11.3023
4/28/23,912920AK1,12.8999
5/1/23,912920AK1,13.1784
5/2/23,912920AK1,13.1847
5/3/23,912920AK1,13.191
5/4/23,912920AK1,12.3267
5/5/23,912920AK1,12.265
5/8/23,912920AK1,13.4994
5/9/23,912920AK1,13.1604
5/10/23,912920AK1,13.9324
5/11/23,912920AK1,13.9541
5/12/23,912920AK1,13.9614
5/15/23,912920AK1,17.1335
5/16/23,912920AK1,17.0677
5/17/23,912920AK1,17.2322
5/18/23,912920AK1,17.4978
5/19/23,912920AK1,17.5092
5/22/23,912920AK1,17.5206
5/23/23,912920AK1,17.2988
5/24/23,912920AK1,17.6999
5/25/23,912920AK1,17.3553
5/26/23,912920AK1,17.3427
5/29/23,912920AK1,17.3427
5/30/23,912920AK1,17.0558
5/31/23,912920AK1,16.758
6/1/23,912920AK1,16.7903
6/2/23,912920AK1,16.4932
6/5/23,912920AK1,15.2939
6/6/23,912920AK1,15.3031
6/7/23,912920AK1,13.1337
6/8/23,912920AK1,13.1538
6/9/23,912920AK1,13.1605
6/12/23,912920AK1,13.1673
6/13/23,912920AK1,13.1741
6/14/23,912920AK1,13.1809
6/15/23,912920AK1,13.2084
6/16/23,912920AK1,13.2153
6/19/23,912920AK1,11.6695
6/20/23,912920AK1,11.1264
6/21/23,912920AK1,11.6798
6/22/23,912920AK1,11.6953
6/23/23,912920AK1,10.3362
6/26/23,912920AK1,10.6092
6/27/23,912920AK1,11.9903
6/28/23,912920AK1,9.2847
6/29/23,912920AK1,9.5558
6/30/23,912920AK1,8.7731
7/3/23,912920AK1,8.775
7/4/23,912920AK1,8.775
7/5/23,912920AK1,9.3018
7/6/23,912920AK1,9.3092
7/7/23,912920AK1,9.3117
7/10/23,912920AK1,9.3143
7/11/23,912920AK1,9.3168
7/12/23,912920AK1,9.2527
7/13/23,912920AK1,8.5326
7/14/23,912920AK1,9.3295
7/17/23,912920AK1,8.9984
7/18/23,912920AK1,9.2007
7/19/23,912920AK1,8.8034
7/20/23,912920AK1,9.6157
7/21/23,912920AK1,9.6187
7/24/23,912920AK1,9.0809
7/25/23,912920AK1,9.2179
7/26/23,912920AK1,9.4235
7/27/23,912920AK1,9.1469
7/28/23,912920AK1,9.0927
7/31/23,912920AK1,8.6243
8/1/23,912920AK1,9.0974
8/2/23,912920AK1,9.0998
8/3/23,912920AK1,9.107
8/4/23,912920AK1,9.6583
8/7/23,912920AK1,8.8398
8/8/23,912920AK1,8.5713
8/9/23,912920AK1,8.7083
8/10/23,912920AK1,8.5785
8/11/23,912920AK1,8.7162
8/14/23,912920AK1,8.7182
8/15/23,912920AK1,8.5839
8/16/23,912920AK1,8.5857
8/17/23,912920AK1,8.4547
8/18/23,912920AK1,8.7302
8/21/23,912920AK1,8.5949
8/22/23,912920AK1,8.7343
8/23/23,912920AK1,8.8053
8/24/23,912920AK1,8.8812
8/25/23,912920AK1,9.6554
8/28/23,912920AK1,9.3055
8/29/23,912920AK1,9.4351
8/30/23,912920AK1,9.3084
8/31/23,912920AK1,8.8972
9/1/23,912920AK1,9.4647
9/4/23,912920AK1,9.4647
9/5/23,912920AK1,10.1135
9/6/23,912920AK1,9.9008
9/7/23,912920AK1,9.8396
9/8/23,912920AK1,9.9881
9/11/23,912920AK1,9.5583
9/12/23,912920AK1,9.9231
9/13/23,912920AK1,8.992
9/14/23,912920AK1,8.998
9/15/23,912920AK1,9.0001
9/18/23,912920AK1,8.7879
9/19/23,912920AK1,9.2198
9/20/23,912920AK1,9.2943
9/21/23,912920AK1,9.0125
9/22/23,912920AK1,8.8706
9/25/23,912920AK1,8.8725
9/26/23,912920AK1,8.8024
9/27/23,912920AK1,9.5309
9/28/23,912920AK1,9.5393
9/29/23,912920AK1,9.395
10/2/23,912920AK1,9.2509
10/3/23,912920AK1,9.8442
10/4/23,912920AK1,9.403
10/5/23,912920AK1,9.9356
10/6/23,912920AK1,10.6199
10/9/23,912920AK1,10.6199
10/10/23,912920AK1,9.345
10/11/23,912920AK1,9.422
10/12/23,912920AK1,9.7301
10/13/23,912920AK1,9.7333
10/16/23,912920AK1,9.5859
10/17/23,912920AK1,9.7397
10/18/23,912920AK1,9.592
10/19/23,912920AK1,9.9048
10/20/23,912920AK1,9.9083
10/23/23,912920AK1,9.8354
10/24/23,912920AK1,9.9153
10/25/23,912920AK1,10.1492
10/26/23,912920AK1,9.9295
10/27/23,912920AK1,9.994
10/30/23,912920AK1,10.2422
10/31/23,912920AK1,9.7827
11/1/23,912920AK1,9.8631
11/2/23,912920AK1,9.9512
11/3/23,912920AK1,10.6592
11/6/23,912920AK1,10.5062
11/7/23,912920AK1,11.0658
11/8/23,912920AK1,14.3834
11/9/23,912920AK1,14.2414
11/10/23,912920AK1,14.9446
11/13/23,912920AK1,14.607
11/14/23,912920AK1,13.9273
11/15/23,912920AK1,14.4542
11/16/23,912920AK1,13.9653
11/17/23,912920AK1,11.8666
11/20/23,912920AK1,11.2171
11/21/23,912920AK1,11.1469
11/22/23,912920AK1,11.0819
11/23/23,912920AK1,11.0819
11/24/23,912920AK1,11.0874
11/27/23,912920AK1,10.8476
11/28/23,912920AK1,10.9346
11/29/23,912920AK1,10.8581
11/30/23,912920AK1,10.8738
12/1/23,912920AK1,10.797
12/4/23,912920AK1,10.5561
12/5/23,912920AK1,10.4791
12/6/23,912920AK1,10.2387
12/7/23,912920AK1,10.252
12/8/23,912920AK1,10.1745
12/11/23,912920AK1,10.4254
12/12/23,912920AK1,10.3477
12/13/23,912920AK1,10.2699
12/14/23,912920AK1,9.3012
12/15/23,912920AK1,8.4996
12/18/23,912920AK1,9.3074
12/1/21,90131HAY1,2.654
12/2/21,90131HAY1,2.694
12/3/21,90131HAY1,2.606
12/6/21,90131HAY1,2.683
12/7/21,90131HAY1,2.732
12/8/21,90131HAY1,2.778
12/9/21,90131HAY1,2.747
12/10/21,90131HAY1,2.732
12/13/21,90131HAY1,2.664
